,fecha,temp
37538,2020-06-08,15.4
42591,2020-06-09,15.7
47644,2020-06-10,18.1
52697,2020-06-11,19.4
57750,2020-06-12,15.0
62803,2020-06-13,16.6
67856,2020-06-14,19.3
72909,2020-06-15,20.9
77962,2020-06-16,20.3
83015,2020-06-17,20.2
88068,2020-06-18,21.4
93121,2020-06-19,22.4
98174,2020-06-20,24.6
103227,2020-06-21,26.1
108280,2020-06-22,26.2
113333,2020-06-23,27.8
118386,2020-06-24,26.3
123439,2020-06-25,26.5
128492,2020-06-26,24.8
133545,2020-06-27,25.2
138598,2020-06-28,27.0
143651,2020-06-29,28.4
148704,2020-06-30,28.9
2168,2020-07-01,28.5
7221,2020-07-02,26.6
12274,2020-07-03,23.6
17327,2020-07-04,25.7
22380,2020-07-05,27.3
27433,2020-07-06,28.9
32486,2020-07-07,29.2
37539,2020-07-08,28.3
42592,2020-07-09,24.7
47645,2020-07-10,25.1
52698,2020-07-11,27.8
57751,2020-07-12,25.7
62804,2020-07-13,25.7
67857,2020-07-14,25.0
72910,2020-07-15,24.6
77963,2020-07-16,26.1
83016,2020-07-17,26.9
88069,2020-07-18,26.3
93122,2020-07-19,27.9
98175,2020-07-20,28.2
103228,2020-07-21,28.3
108281,2020-07-22,26.6
113334,2020-07-23,28.7
118387,2020-07-24,29.3
123440,2020-07-25,28.7
128493,2020-07-26,30.0
133546,2020-07-27,30.9
138599,2020-07-28,30.9
143652,2020-07-29,30.1
148705,2020-07-30,31.0
153758,2020-07-31,29.8
2169,2020-08-01,30.1
7222,2020-08-02,27.5
12275,2020-08-03,25.0
17328,2020-08-04,24.7
22381,2020-08-05,27.3
27434,2020-08-06,29.3
32487,2020-08-07,30.7
37540,2020-08-08,29.7
42593,2020-08-09,29.9
47646,2020-08-10,27.1
52699,2020-08-11,20.0
57752,2020-08-12,20.5
62805,2020-08-13,23.3
67858,2020-08-14,25.0
72911,2020-08-15,23.9
77964,2020-08-16,22.1
83017,2020-08-17,22.5
88070,2020-08-18,24.6
93123,2020-08-19,25.7
98176,2020-08-20,25.3
103229,2020-08-21,26.1
108282,2020-08-22,25.9
113335,2020-08-23,25.5
118388,2020-08-24,25.6
123441,2020-08-25,27.0
128494,2020-08-26,28.0
133547,2020-08-27,28.4
138600,2020-08-28,26.4
143653,2020-08-29,18.4
148706,2020-08-30,16.5
153759,2020-08-31,17.7
2170,2020-09-01,19.6
7223,2020-09-02,21.5
12276,2020-09-03,22.8
17329,2020-09-04,24.1
22382,2020-09-05,24.5
27435,2020-09-06,25.1
32488,2020-09-07,19.7
37541,2020-09-08,18.8
42594,2020-09-09,20.9
47647,2020-09-10,23.2
52700,2020-09-11,23.8
57753,2020-09-12,24.4
62806,2020-09-13,24.5
67859,2020-09-14,24.0
72912,2020-09-15,23.3
77965,2020-09-16,22.7
83018,2020-09-17,21.3
88071,2020-09-18,17.2
93124,2020-09-19,16.2
98177,2020-09-20,18.0
103230,2020-09-21,18.3
108283,2020-09-22,18.5
113336,2020-09-23,19.4
118389,2020-09-24,18.3
123442,2020-09-25,15.2
128495,2020-09-26,14.9
133548,2020-09-27,16.6
138601,2020-09-28,14.7
143654,2020-09-29,17.3
148707,2020-09-30,18.4
2171,2020-10-01,18.0
7224,2020-10-02,13.1
12277,2020-10-03,12.1
17330,2020-10-04,13.0
22383,2020-10-05,14.8
27436,2020-10-06,16.8
32489,2020-10-07,18.4
37542,2020-10-08,18.0
42595,2020-10-09,18.5
47648,2020-10-10,17.0
52701,2020-10-11,12.4
57754,2020-10-12,12.6
62807,2020-10-13,14.9
67860,2020-10-14,13.5
72913,2020-10-15,11.0
77966,2020-10-16,9.4
83019,2020-10-17,10.0
88072,2020-10-18,12.3
93125,2020-10-19,14.4
98178,2020-10-20,15.0
103231,2020-10-21,14.7
108284,2020-10-22,13.7
113337,2020-10-23,11.6
118390,2020-10-24,10.1
123443,2020-10-25,11.1
128496,2020-10-26,9.8
133549,2020-10-27,11.1
138602,2020-10-28,10.1
143655,2020-10-29,11.9
148708,2020-10-30,11.2
153761,2020-10-31,13.4
2172,2020-11-01,14.0
7225,2020-11-02,14.4
12278,2020-11-03,12.5
17331,2020-11-04,8.4
22384,2020-11-05,10.0
27437,2020-11-06,13.9
32490,2020-11-07,12.0
37543,2020-11-08,11.0
42596,2020-11-09,11.2
47649,2020-11-10,10.8
52702,2020-11-11,9.9
57755,2020-11-12,10.3
62808,2020-11-13,10.9
67861,2020-11-14,11.0
72914,2020-11-15,13.4
77967,2020-11-16,13.8
83020,2020-11-17,10.4
88073,2020-11-18,9.7
93126,2020-11-19,12.8
98179,2020-11-20,10.2
103232,2020-11-21,8.5
108285,2020-11-22,7.3
113338,2020-11-23,8.0
118391,2020-11-24,6.7
123444,2020-11-25,7.2
128497,2020-11-26,9.5
133550,2020-11-27,8.5
138603,2020-11-28,8.7
143656,2020-11-29,7.2
148709,2020-11-30,7.6
2173,2020-12-01,9.0
7226,2020-12-02,7.7
12279,2020-12-03,4.0
17332,2020-12-04,5.5
22385,2020-12-05,4.4
27438,2020-12-06,4.9
32491,2020-12-07,8.2
37544,2020-12-08,6.8
42597,2020-12-09,5.9
47650,2020-12-10,9.8
52703,2020-12-11,13.5
57756,2020-12-12,10.9
62809,2020-12-13,7.4
67862,2020-12-14,9.5
72915,2020-12-15,8.8
77968,2020-12-16,6.9
83021,2020-12-17,9.6
88074,2020-12-18,6.9
93127,2020-12-19,7.5
98180,2020-12-20,7.6
103233,2020-12-21,7.1
108286,2020-12-22,7.4
113339,2020-12-23,7.0
118392,2020-12-24,7.9
123445,2020-12-25,4.0
128498,2020-12-26,3.1
133551,2020-12-27,1.9
138604,2020-12-28,6.4
143657,2020-12-29,4.4
148710,2020-12-30,4.2
153763,2020-12-31,2.5
3214,2021-01-01,3.6
8267,2021-01-02,1.3
13320,2021-01-03,1.9
18373,2021-01-04,3.4
23426,2021-01-05,0.5
28479,2021-01-06,0.0
33532,2021-01-07,-0.7
38585,2021-01-08,-1.9
43638,2021-01-09,-1.2
48691,2021-01-10,0.8
53744,2021-01-11,-1.3
58797,2021-01-12,-4.9
63850,2021-01-13,-3.4
68903,2021-01-14,-1.6
73956,2021-01-15,0.5
79009,2021-01-16,0.4
84062,2021-01-17,0.5
89115,2021-01-18,2.4
94168,2021-01-19,1.4
99221,2021-01-20,2.3
104274,2021-01-21,8.2
109327,2021-01-22,8.0
114380,2021-01-23,6.3
119433,2021-01-24,9.9
124486,2021-01-25,10.5
129539,2021-01-26,10.9
134592,2021-01-27,13.3
139645,2021-01-28,10.7
144698,2021-01-29,9.8
149751,2021-01-30,10.1
154804,2021-01-31,10.4
3215,2021-02-01,11.9
8268,2021-02-02,10.1
13321,2021-02-03,9.7
18374,2021-02-04,10.5
23427,2021-02-05,10.8
28480,2021-02-06,8.8
33533,2021-02-07,7.3
38586,2021-02-08,7.6
43639,2021-02-09,6.9
48692,2021-02-10,9.5
53745,2021-02-11,9.2
58798,2021-02-12,11.1
63851,2021-02-13,9.9
68904,2021-02-14,9.1
73957,2021-02-15,9.0
79010,2021-02-16,8.9
84063,2021-02-17,10.0
89116,2021-02-18,9.5
94169,2021-02-19,9.8
99222,2021-02-20,10.7
104275,2021-02-21,9.2
109328,2021-02-22,7.6
114381,2021-02-23,7.5
119434,2021-02-24,8.3
124487,2021-02-25,8.6
129540,2021-02-26,10.2
134593,2021-02-27,11.3
139646,2021-02-28,8.8
3216,2021-03-01,7.8
8269,2021-03-02,10.3
13322,2021-03-03,10.5
18375,2021-03-04,8.4
23428,2021-03-05,9.5
28481,2021-03-06,11.0
33534,2021-03-07,9.9
38587,2021-03-08,8.3
43640,2021-03-09,8.1
48693,2021-03-10,8.0
53746,2021-03-11,11.2
58799,2021-03-12,11.1
63852,2021-03-13,8.6
68905,2021-03-14,9.2
73958,2021-03-15,10.0
79011,2021-03-16,10.5
84064,2021-03-17,11.4
89117,2021-03-18,7.5
94170,2021-03-19,6.7
99223,2021-03-20,5.7
104276,2021-03-21,7.2
109329,2021-03-22,8.8
114382,2021-03-23,10.6
119435,2021-03-24,12.2
124488,2021-03-25,12.7
129541,2021-03-26,12.5
134594,2021-03-27,11.4
139647,2021-03-28,13.1
144700,2021-03-29,14.0
149753,2021-03-30,14.4
154806,2021-03-31,14.8
3217,2021-04-01,15.7
8270,2021-04-02,13.2
13323,2021-04-03,12.3
18376,2021-04-04,12.6
23429,2021-04-05,13.9
28482,2021-04-06,15.2
33535,2021-04-07,11.8
38588,2021-04-08,12.3
43641,2021-04-09,10.1
48694,2021-04-10,12.1
53747,2021-04-11,11.9
58800,2021-04-12,9.4
63853,2021-04-13,10.4
68906,2021-04-14,13.9
73959,2021-04-15,13.0
79012,2021-04-16,11.8
84065,2021-04-17,8.9
89118,2021-04-18,10.7
94171,2021-04-19,13.4
99224,2021-04-20,13.5
104277,2021-04-21,12.7
109330,2021-04-22,12.4
114383,2021-04-23,12.9
119436,2021-04-24,12.3
124489,2021-04-25,10.6
129542,2021-04-26,13.7
134595,2021-04-27,13.5
139648,2021-04-28,13.4
144701,2021-04-29,13.2
149754,2021-04-30,11.6
3218,2021-05-01,11.8
8271,2021-05-02,12.3
13324,2021-05-03,12.4
18377,2021-05-04,14.4
23430,2021-05-05,17.4
28483,2021-05-06,18.4
33536,2021-05-07,20.4
38589,2021-05-08,20.2
43642,2021-05-09,15.9
48695,2021-05-10,11.9
53748,2021-05-11,12.0
58801,2021-05-12,14.4
63854,2021-05-13,14.9
68907,2021-05-14,16.7
73960,2021-05-15,19.6
79013,2021-05-16,20.4
84066,2021-05-17,19.4
89119,2021-05-18,19.7
94172,2021-05-19,18.4
99225,2021-05-20,19.5
104278,2021-05-21,21.6
109331,2021-05-22,17.7
114384,2021-05-23,13.6
119437,2021-05-24,16.3
124490,2021-05-25,18.1
129543,2021-05-26,19.9
134596,2021-05-27,20.6
139649,2021-05-28,20.5
144702,2021-05-29,22.4
149755,2021-05-30,23.8
154808,2021-05-31,22.9
3219,2021-06-01,19.4
8272,2021-06-02,19.4
13325,2021-06-03,22.4
18378,2021-06-04,22.4
23431,2021-06-05,17.8
28484,2021-06-06,21.0
33537,2021-06-07,23.9
38590,2021-06-08,25.6
43643,2021-06-09,26.3
48696,2021-06-10,26.5
53749,2021-06-11,24.3
58802,2021-06-12,22.9
63855,2021-06-13,24.6
68908,2021-06-14,25.9
73961,2021-06-15,26.0
79014,2021-06-16,24.0
84067,2021-06-17,17.4
89120,2021-06-18,19.1
94173,2021-06-19,19.2
99226,2021-06-20,17.2
104279,2021-06-21,17.5
109332,2021-06-22,17.6
114385,2021-06-23,18.3
119438,2021-06-24,20.1
124491,2021-06-25,23.3
129544,2021-06-26,25.2
134597,2021-06-27,24.0
139650,2021-06-28,21.3
144703,2021-06-29,22.4
149756,2021-06-30,24.5
3220,2021-07-01,25.8
8273,2021-07-02,26.3
13326,2021-07-03,26.0
18379,2021-07-04,25.8
23432,2021-07-05,26.3
28485,2021-07-06,20.5
33538,2021-07-07,19.5
38591,2021-07-08,21.3
43644,2021-07-09,24.6
48697,2021-07-10,28.0
53750,2021-07-11,29.3
58803,2021-07-12,23.9
63856,2021-07-13,19.9
68909,2021-07-14,21.2
73962,2021-07-15,23.2
79015,2021-07-16,26.5
84068,2021-07-17,28.7
89121,2021-07-18,28.7
94174,2021-07-19,27.6
99227,2021-07-20,28.2
104280,2021-07-21,28.3
109333,2021-07-22,29.0
114386,2021-07-23,26.7
119439,2021-07-24,24.9
124492,2021-07-25,24.0
129545,2021-07-26,22.6
134598,2021-07-27,26.1
139651,2021-07-28,27.5
144704,2021-07-29,28.3
149757,2021-07-30,28.2
154810,2021-07-31,22.4
3221,2021-08-01,19.4
8274,2021-08-02,22.2
13327,2021-08-03,24.3
18380,2021-08-04,26.4
23433,2021-08-05,26.7
28486,2021-08-06,26.3
33539,2021-08-07,24.0
38592,2021-08-08,23.2
43645,2021-08-09,26.4
48698,2021-08-10,28.2
53751,2021-08-11,30.0
58804,2021-08-12,29.4
63857,2021-08-13,31.1
68910,2021-08-14,31.9
73963,2021-08-15,30.9
79016,2021-08-16,27.7
84069,2021-08-17,24.2
89122,2021-08-18,25.3
94175,2021-08-19,26.0
99228,2021-08-20,26.3
104281,2021-08-21,26.4
109334,2021-08-22,27.3
114387,2021-08-23,28.0
119440,2021-08-24,25.2
124493,2021-08-25,24.1
129546,2021-08-26,25.2
134599,2021-08-27,26.6
139652,2021-08-28,26.1
144705,2021-08-29,24.6
149758,2021-08-30,25.1
154811,2021-08-31,24.7
3222,2021-09-01,19.3
8275,2021-09-02,18.6
13328,2021-09-03,21.8
18381,2021-09-04,22.7
23434,2021-09-05,23.8
28487,2021-09-06,24.8
33540,2021-09-07,25.6
38593,2021-09-08,23.2
43646,2021-09-09,22.3
48699,2021-09-10,23.0
53752,2021-09-11,21.3
58805,2021-09-12,22.4
63858,2021-09-13,20.5
68911,2021-09-14,17.4
73964,2021-09-15,18.5
79017,2021-09-16,19.5
